seller_id,first_active_month,last_active_month,seller_vintage,primary_category
001cca7ae9ae17fb1caed9dfb1094831,2017-02,2018-07,17,garden_tools
002100f778ceb8431b7a1020ff7ab48f,2017-09,2018-04,8,furniture_decor
004c9cd9d87a3c30c522c48c4fc07416,2017-01,2018-05,17,bed_bath_table
00720abe85ba0859807595bbf045a33b,2018-01,2018-08,8,housewares
00ee68308b45bc5e2660cd833c3f81cc,2017-09,2018-08,12,bed_bath_table
00fc707aaaad2d31347cf883cd2dfe10,2018-01,2018-06,6,computers_accessories
013900e863eace745d3ec7614cab5b1a,2017-03,2018-04,7,fashion_shoes
014c0679dd340a0e338872e7ec85666a,2017-01,2018-07,12,kitchen_dining_laundry_garden_furniture
014d9a685fd57276679edd00e07089e5,2017-11,2018-08,5,stationery
0176f73cc1195f367f7b32db1e5b3aa8,2017-11,2018-08,9,bed_bath_table
01bcc9d254a0143f0ce9791b960b2a47,2017-08,2018-02,5,health_beauty
01cf7e3d21494c41fb86034f2e714fa1,2017-01,2018-02,9,air_conditioning
01fd077212124329bac32490e8ef80d9,2018-04,2018-08,5,health_beauty
01fdefa7697d26ad920e9e0346d4bd1b,2017-04,2018-08,17,health_beauty
0241d4d5d36f10f80c644447315af0bd,2017-10,2018-08,11,furniture_decor
0249d282d911d23cb8b869ab49c99f53,2017-09,2018-03,4,sports_leisure
02c988090b766852e088c69d7fb3b551,2017-07,2018-08,12,signaling_and_security
02d35243ea2e497335cd0f076b45675d,2017-04,2018-08,8,furniture_decor
02dcd3e8e25bee036e32512bcf175493,2017-10,2018-08,6,stationery
02ecc2a19303f05e59ce133fd923fff7,2017-06,2018-08,11,garden_tools
02f5837340d7eb4f653d676c7256523a,2017-11,2018-08,8,luggage_accessories
02f623a8eb246f3c5f7c2f96462654e6,2018-04,2018-08,5,sports_leisure
0417b067eeab773d2f7061a726dc477f,2018-03,2018-08,5,auto
04308b1ee57b6625f47df1d56f00eedf,2017-11,2018-08,9,health_beauty
0432ead42b6c8a0bdf68154add917fdf,2017-04,2018-07,14,toys
048c2757535328e0d7dac690ad3c0aae,2017-03,2018-08,17,fashion_shoes
04aa0a1c5ce6b222003403a3e11c3cc0,2017-03,2018-01,7,auto
04aba03279157f6d4e0fe8ccaf21963c,2017-05,2018-08,11,health_beauty
04e38a233f726ef161074ab1c9b0399a,2017-09,2018-05,7,sports_leisure
04fdea0c111866e6cf812f1570d6b5bd,2017-10,2018-01,4,computers_accessories
0509040ea3fe50071181bbc359eb7738,2017-05,2018-08,16,sports_leisure
054694fa03fe82cec4b7551487331d74,2017-01,2018-04,10,small_appliances
056b4ada5bbc2c50cc7842547dda6b51,2017-12,2018-08,9,watches_gifts
058cb5aeb36d7c0fcae20fc85d5e0a59,2017-09,2018-08,7,luggage_accessories
058fd0aa2bfdb2274e05e1ae971dabb6,2017-08,2018-06,11,perfumery
05a940b4ecae36cadfd8e93bd9c43257,2017-07,2018-02,6,cool_stuff
05d2173d43ea568aa0540eba70d2ca76,2017-09,2018-08,11,auto
05f51e13da97139648b8125c31e5f51b,2017-07,2018-03,8,baby
05ff92fedb5be47920fea08e501238b9,2017-01,2018-08,18,cool_stuff
062ce95fa2ad4dfaedfc79260130565f,2017-01,2017-09,9,furniture_decor
06579cb253ecd5a3a12a9e6eb6bf8f47,2017-08,2018-08,13,housewares
066a6914e1ebf3ea95a216c73a986b91,2017-01,2018-08,18,sports_leisure
0691148aee60ca47977c187804f935ae,2017-11,2018-08,10,sports_leisure
06a2c3af7b3aee5d69171b0e14f0ee87,2018-01,2018-08,8,health_beauty
06bb3a2fe5e7b7a845b13e8fb91bd944,2017-09,2018-07,10,health_beauty
06df0c10d34e459d9672bc77388742eb,2018-03,2018-08,6,sports_leisure
