seller_id,sale_year,sale_month,seller_state,total_orders,total_revenue,on_time_delivery_pct,cancellation_pct,avg_review_score,pct_low_reviews,category_count,review_score_change,order_volume_change,delivery_rate_change
001cca7ae9ae17fb1caed9dfb1094831,2017,2,ES,5,1295.4,100.0,0.0,4.27,20.0,1,0.0,0,0.0
001cca7ae9ae17fb1caed9dfb1094831,2017,3,ES,11,2124.0,94.12,0.0,3.12,63.64,1,-1.15,6,-5.88
001cca7ae9ae17fb1caed9dfb1094831,2017,4,ES,14,2243.22,93.33,0.0,3.69,28.57,1,0.57,3,-0.79
001cca7ae9ae17fb1caed9dfb1094831,2017,5,ES,24,3783.66,100.0,0.0,3.73,25.0,2,0.04,10,6.67
001cca7ae9ae17fb1caed9dfb1094831,2017,6,ES,22,3107.09,95.45,0.0,4.26,13.64,2,0.53,-2,-4.55
001cca7ae9ae17fb1caed9dfb1094831,2017,7,ES,21,3536.03,96.0,0.0,4.17,14.29,2,-0.09,-1,0.55
001cca7ae9ae17fb1caed9dfb1094831,2017,8,ES,11,1709.54,100.0,0.0,4.08,9.09,2,-0.09,-10,4.0
001cca7ae9ae17fb1caed9dfb1094831,2017,9,ES,12,2355.35,100.0,0.0,4.13,25.0,1,0.05,1,0.0
001cca7ae9ae17fb1caed9dfb1094831,2017,10,ES,22,3625.65,92.0,0.0,3.88,22.73,2,-0.25,10,-8.0
001cca7ae9ae17fb1caed9dfb1094831,2017,11,ES,20,3464.6,88.0,0.0,4.08,15.0,2,0.2,-2,-4.0
001cca7ae9ae17fb1caed9dfb1094831,2017,12,ES,12,1822.01,92.31,0.0,4.15,0.0,2,0.07,-8,4.31
001cca7ae9ae17fb1caed9dfb1094831,2018,1,ES,8,1238.08,87.5,0.0,4.63,0.0,1,0.48,-4,-4.81
001cca7ae9ae17fb1caed9dfb1094831,2018,2,ES,3,450.34,100.0,0.0,3.67,33.33,1,-0.96,-5,12.5
001cca7ae9ae17fb1caed9dfb1094831,2018,3,ES,7,1712.16,88.89,0.0,2.9,71.43,2,-0.77,4,-11.11
001cca7ae9ae17fb1caed9dfb1094831,2018,4,ES,5,965.01,75.0,0.0,2.2,60.0,2,-0.7,-2,-13.89
001cca7ae9ae17fb1caed9dfb1094831,2018,6,ES,2,335.99,100.0,0.0,5.0,0.0,2,2.8,-3,25.0
001cca7ae9ae17fb1caed9dfb1094831,2018,7,ES,1,166.04,100.0,0.0,5.0,0.0,1,0.0,-1,0.0
002100f778ceb8431b7a1020ff7ab48f,2017,9,SP,3,98.25,100.0,0.0,4.0,33.33,1,0.0,0,0.0
002100f778ceb8431b7a1020ff7ab48f,2017,10,SP,9,367.3,90.91,0.0,4.27,11.11,1,0.27,6,-9.09
002100f778ceb8431b7a1020ff7ab48f,2017,11,SP,11,445.78,83.33,0.0,4.0,18.18,1,-0.27,2,-7.58
